userid,placeid,datetime,id,created_at,lng,lat,photos_count,checkins_count,users_count,radius_meters,highlights_count,items_count,max_items_count,spot_categories,geometry,index_right,NAME
387190,1596225,2010-09-09T02:04:25Z,1596225,2010-08-11T11:52:15Z,145.701305866,15.155668902,0,3,3,75,0,0,10,"[{'url': '/categories/47', 'name': 'Modern Hotel'}]",POINT (145.701305866 15.155668902),35.0,Commonwealth of the Northern Mariana Islands
2262409,7264814,2011-04-21T16:39:49Z,7264814,2011-04-21T16:33:53Z,145.716914268,15.215834782,0,1,1,100,0,0,10,"[{'url': '/categories/48', 'name': 'Resort'}]",POINT (145.716914268 15.215834782),35.0,Commonwealth of the Northern Mariana Islands
2426604,7388919,2011-05-17T13:00:30Z,7388919,2011-05-17T12:58:00Z,145.694148917,15.128384886,1,1,1,75,0,0,10,"[{'url': '/categories/241', 'name': 'Bar'}]",POINT (145.694148917 15.128384886),35.0,Commonwealth of the Northern Mariana Islands
124369,6611299,2010-12-20T06:05:37Z,6611299,2010-12-20T06:05:24Z,145.72762244,15.15244221,0,1,1,75,0,0,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]",POINT (145.72762244 15.15244221),35.0,Commonwealth of the Northern Mariana Islands
240505,6843608,2011-01-30T22:43:25Z,6843608,2011-01-30T22:41:16Z,145.717279252,15.205780487,0,4,3,75,0,1,10,"[{'url': '/categories/16', 'name': 'American'}]",POINT (145.717279252 15.205780487),35.0,Commonwealth of the Northern Mariana Islands
2107182,6843608,2011-01-30T22:41:54Z,6843608,2011-01-30T22:41:16Z,145.717279252,15.205780487,0,4,3,75,0,1,10,"[{'url': '/categories/16', 'name': 'American'}]",POINT (145.717279252 15.205780487),35.0,Commonwealth of the Northern Mariana Islands
2109020,6843608,2011-03-10T02:56:22Z,6843608,2011-01-30T22:41:16Z,145.717279252,15.205780487,0,4,3,75,0,1,10,"[{'url': '/categories/16', 'name': 'American'}]",POINT (145.717279252 15.205780487),35.0,Commonwealth of the Northern Mariana Islands
2109020,6843608,2011-03-09T01:51:47Z,6843608,2011-01-30T22:41:16Z,145.717279252,15.205780487,0,4,3,75,0,1,10,"[{'url': '/categories/16', 'name': 'American'}]",POINT (145.717279252 15.205780487),35.0,Commonwealth of the Northern Mariana Islands
240505,2284899,2011-01-30T02:12:14Z,2284899,2010-08-23T01:40:26Z,145.716382715,15.209278092,0,4,4,75,0,0,10,"[{'url': '/categories/54', 'name': 'Other - Shopping'}]",POINT (145.716382715 15.209278092),35.0,Commonwealth of the Northern Mariana Islands
2109020,2284899,2011-03-10T03:34:39Z,2284899,2010-08-23T01:40:26Z,145.716382715,15.209278092,0,4,4,75,0,0,10,"[{'url': '/categories/54', 'name': 'Other - Shopping'}]",POINT (145.716382715 15.209278092),35.0,Commonwealth of the Northern Mariana Islands
2107182,6849646,2011-02-01T09:34:12Z,6849646,2011-02-01T09:34:05Z,145.718624083,15.214035583,0,1,1,75,0,0,10,"[{'url': '/categories/454', 'name': 'Subway'}]",POINT (145.718624083 15.214035583),35.0,Commonwealth of the Northern Mariana Islands
2213501,6749766,2011-01-13T19:45:48Z,6749766,2011-01-13T19:45:06Z,145.70123767,15.14857238,0,1,1,75,0,0,10,"[{'url': '/categories/49', 'name': 'Luxury Hotel'}]",POINT (145.70123767 15.14857238),35.0,Commonwealth of the Northern Mariana Islands
2109020,7045696,2011-03-09T21:19:27Z,7045696,2011-03-09T21:18:53Z,145.721005493,15.20817689,0,1,1,75,0,0,10,"[{'url': '/categories/18', 'name': 'Asian'}]",POINT (145.721005493 15.20817689),35.0,Commonwealth of the Northern Mariana Islands
2109020,7042746,2011-03-09T09:27:40Z,7042746,2011-03-09T09:26:56Z,145.719273265,15.209414625,0,1,1,100,0,0,10,"[{'url': '/categories/48', 'name': 'Resort'}]",POINT (145.719273265 15.209414625),35.0,Commonwealth of the Northern Mariana Islands
